"ROWNUM","ID","NAZWASEKCJI","WARTOSC","DATA_WPLYWU","WI_KONKURS_ID","TYTUL","SLOWA_KLUCZE","WI_STATUSWNIOSKU_KOD"
1,916,"opisProjektuCelNaukowy","Cel naukowy projektu 1.",06/07/04,1,"Paweł 1","asddvv",2
2,916,"opisProjektuEfekt","Efekt projektu 1.",06/07/04,1,"Paweł 1","asddvv",2
3,916,"opisProjektuLiteratura","Literatura projektu 1.<br /><br />1. Chrząszcz brzmi w trzcinie.<br />2. Ala ma kota.<br />3. Litwo, ojczyzno moja.<br />",06/07/04,1,"Paweł 1","asddvv",2
4,916,"opisProjektuMetodykaBadan","Metodyka badań dla projektu 1.",06/07/04,1,"Paweł 1","asddvv",2
5,916,"opisProjektuStanWiedzy","Stan wiedzy w zakresie tematu badań dla projektu 1.",06/07/04,1,"Paweł 1","asddvv",2
6,916,"opisProjektuZnaczenieProjektu","Znaczenie projektu.",06/07/04,1,"Paweł 1","asddvv",2
7,1055,"opisProjektuCelNaukowy","<strong><font face=""Arial"">
<p align=""justify"">P<font size=""3"">rzesłanki proponowanego tematu:</font></p>
</font><font face=""Arial"" size=""3"">
<p align=""justify"">W armiach wielu śmigłowce wprowadzano stopniowo, w miarę doskonalenia sprzętu oraz gromadzenia doswiadczeń w bojowym ich wykorzystaniu. Śmigłowce pełniły  początkowo ograniczoną rolę  -  zabezpieczały łączność,  pełniły służbę  ratowniczo-sanitarną,  używane były do korygowania ognia artylerii, a nieco później wykorzystywane były do zadań transportowych. <br /> </p>
<p align=""justify""><font face=""Arial"">Pierwsze próby użycia śmigłowców na polu walki miały miejsce w czasie wojny indochińskiej przez Francuzów. Próbowano je używać do ewakuacji okrążonych sił i rannych z twierdzy Dien Bien Phu. W czasie następnej wojny w Algierii śmigłowce znalazły znów </font><font face=""Arial"">zastoso</font><font face=""Arial"">wanie. W 1955 roku utworzono początkowo zgrupowanie śmigłowców wojskowych, które wyk</font><font face=""Arial"">o</font><font face=""Arial"">nywały zadania ewakuacji rannych, łączności i transportu. Później stopniowo zaczęto je używać do rozpoznania w rejonach pustynnych, przerzutu grup koma</font><font face=""Arial"">ndosów i ich wsparcia. </font></p>
<p align=""justify""><font face=""Arial"">W ten sposób śmigłowiec stał się platformą do przenoszenia różnorakiego uzbrojenia. Z</font><font face=""Arial"">a</font><font face=""Arial"">kres taktycznego wykorzystania uzbrojenia na śmigłowcu jest szeroki i różnorodny. ŚmigŁowiec jako platforma przenosząca uzbrojenie może posiadać uzbrojenie arty</font><font face=""Arial"">leryjskie, rakietowe kierowane i niekierowane, systemy minowania itd. </font><font face=""Arial"">Te różnorodne zastosowania śmigłowiec zawdzięcza swoim specyficznym charakteryst</font><font face=""Arial"">y</font><font face=""Arial"">kom lotnym tj.: możliwościami startu i lądowania z dowolnego miejsca, zawisu, różnorodnymi prędkościami lotu, lotu na małej wysokości i wg profilu terenu, możliwościami działań w miastach i lasach itd. </font></p>
<p align=""justify""><font face=""Arial"">Śmigłowce uzbrojone powstawały początkowo przez wyposażenie w systemy uzbrojenia już istniejące śmigłowce, później zaczęto opracowywać śmigłowce do zaplanowane</font><font face=""Arial"">go syste</font><font face=""Arial"">mu uzbrojenia. Przy zabudowie uzbrojenia na śm</font><font face=""Arial"">i</font><font face=""Arial"">głowcu nieodzownym jest znalezienie kompromisu technicznego rozwiązania spełniającego z jednej strony zapewnienia wymaganej skuteczności porażenia celów (naziemnych, powietr</font><font face=""Arial"">znych), z drugiej zapewnienie</font><font face=""Arial""> warunków pracy uzbrojenia bez naruszenia podstawowych właściw</font><font face=""Arial"">oś</font><font face=""Arial"">ci lotnych śmigłowca.</font><font face=""Arial""> <br /></font></p>
<p align=""justify""><font face=""Arial"">Wystąpienie z wnioskiem o projekt badawczy opiera się na następujących przesłankach:<br />- dużej aktualności tematyki związanej z pracami dotyczącymi modyfikacji śmigłowca jako platformy przenoszącej uzbrojenie, a w tym wyposażenie w nowy system nawigacyjno-celowniczy;</font><font face=""Arial""><br />- wiedzy i doświadczeni</font><font face=""Arial"">u</font><font face=""Arial""> zespołu realizatorów w zakresie badania lotniczych środków boj</font><font face=""Arial"">owych <br />i systemów uzbrojenia lotniczego.</font><font face=""Arial""> </font></p>
<p align=""justify""><font face=""Arial"">Analizując możliwości uzbrojenia śmigłowca, należy problematykę tę rozpatrywać systemowo. Systemem uzbrojenia pokładowego nazwano układ organizacyjny i funkcjonalny obejmujący następujące elementy:<br />- nosiciel:<br />    - podsystem celowniczy;<br />    - podsystem sterowania bronią;<br />- broń:<br />    - stanowisko broni;<br />    - środki bojowe;<br />- pilot-operator.<br />    Podstawowym celem projektu jest opracowanie matematycznego modelu podsystemu celowniczego będącego elementem systemu uzbrojenia śmigłowca. Model podsyste...",06/07/25,1,"Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca","lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
8,1055,"opisProjektuEfekt","<meta http-equiv=""CONTENT-TYPE"" content=""text/html; charset=utf-8"" />
<title></title>
<meta name=""GENERATOR"" content=""OpenOffice.org 1.1.0  (Linux)"" />
<meta name=""AUTHOR"" content=""LSK"" />
<meta name=""CREATED"" content=""20060707;13290000"" />
<meta name=""CHANGEDBY"" content=""Pietraszek"" />
<meta name=""CHANGED"" content=""20060707;13290000"" />
<meta name=""CLASSIFICATION"" content=""Birthday "" />
<meta name=""DESCRIPTION"" content=""Shankar’s Birthday falls on 25th July.  Don’t Forget to wish him"" />
<meta name=""KEYWORDS"" content=""Birthday"" /><style type=""text/css"">
	<!--
		@page { margin: 2cm }
		P { margin-bottom: 0.21cm }
		P.western { font-family: ""Luxi Serif"", serif; so-language: pl-PL }
	-->
	</style>
<p class=""western"" style=""margin-bottom: 0cm; font-family: arial;""><font size=""3""><font color=""#000000"">W ramach realizacji pracy</font><em><font color=""#000000""> </font></em><font color=""#000000"">oczekuje się efektów w postaci:</font></font></p>
<ul style=""font-family: arial;"">
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">modeli 	lotniczych środków bojowych stanowiących uzbrojenie 	śmigłowca;</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">funkcjonalnego 	modelu algorytmu celowniczego.</font></p>
    </li>
</ul>
Ponadto oczekiwane są efekty wymierne w postaci: <br />
<ul style=""font-family: arial;"">
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">informatycznego modelu 	(program komputerowy) celowniczego wykorzystanego w systemie sterowania 	uzbrojeniem modernizowanego śmigłowca;</font></p>
    </li>
    <li>
    <p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">publikacji naukowych;</font></p>
    </li>
    <li>
    <p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">uczestnictwa w 	konferencjach krajowych i międzynarodowych;</font></p>
    </li>
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">pracy doktorskiej 	wykonawcy projektu.</font></p>
    </li>
</ul>
<p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> <br /> </p>",06/07/25,1,"Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca","lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
9,1055,"opisProjektuLiteratura","<meta http-equiv=""CONTENT-TYPE"" content=""text/html; charset=utf-8"" />
<title></title>
<meta name=""GENERATOR"" content=""OpenOffice.org 1.1.0  (Linux)"" />
<meta name=""AUTHOR"" content=""LSK"" />
<meta name=""CREATED"" content=""20060707;13290000"" />
<meta name=""CHANGEDBY"" content=""Pietraszek"" />
<meta name=""CHANGED"" content=""20060707;13290000"" />
<meta name=""CLASSIFICATION"" content=""Birthday "" />
<meta name=""DESCRIPTION"" content=""Shankar's Birthday falls on 25th July.  Don't Forget to wish him"" />
<meta name=""KEYWORDS"" content=""Birthday"" /><style type=""text/css"">
	<!--
		@page { margin: 2cm }
		P { margin-bottom: 0.21cm }
		P.western { font-family: ""Nimbus Roman No9 L"", serif }
	-->
	</style>
<ol style=""font-family: arial; text-align: justify;"">
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Arczewski 	K., Goraj Z., Pietrucha J.: ,,Elementy modelowania w mechanice – 	układy dyskretne”, Wydawnictwa Politechniki Warszawskiej , 	Warszawa 1983.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Bęczkowski 	G., Manerowski J., Rymaszewski S.: ,,Metoda identyfikacji 	matematycznego modelu dynamiki lotu i charakterystyk lotnych 	samolotu”, I Konferencja „Metody i technika badań statków 	powietrznych w locie”, ITWL Mrągowo 1994.</font></p>
    </li>
    <li>
    <p lang=""en-GB"" style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Etkin 	B.E.: ,,Dynamics of Atmospheric Flight”, John Willey &amp; Sons 	Inc. New York, London, Sydney, Toronto, 1972.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Gacek 	J., Maryniak J.: ,,Modelowanie własności dynamicznych brył 	obrotowych miotanych z ruchomych obiektów”, Biuletyn WAT, 	Rok XXXVI, nr 10(442), Warszawa 1987.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Goszczyński 	J.A.:, ,Identyfikacja w czasie rzeczywistym parametrów 	obiektu latającego z zastosowaniem do symulacji numerycznej ruchu”, 	raport projektu badawczego KBN nr 9T12C 006 08, Instytut Lotnictwa, 	Warszawa 1998.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Manerowski 	J.: ,,Identyfikacja modeli dynamiki ruchu sterowanych obiektów 	latających”, Wydawnictwo Naukowe ASKON, Warszawa 1999.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Maryniak 	J.: ,,Dynamiczna teoria obiektów ruchomych”, Prace Naukowe 	Politechniki Warszawskiej, seria Mechanika , Z.32, Wyd.P.W., 	Warszawa 1975.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">,,Ocena 	wyników doświadczalnych bombardowań i strzelań z samolotu 	wyposażonego w podsystemy nawigacyjno -celownicze firmy SAGEM”, 	AON, Wydział wojsk Lotniczych, OP 05/10/94.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font size=""3""><span lang=""en-GB""><font color=""#000000"">Sibilski 	K., “Numerical Investigation Into Flight Dynamics of an Agile 	Aircraft”, <em>Journal of Theoretical and Applied Mechanics</em>, 	Vol. 38, No. 1, 2000,</font></span></font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Winczura 	Z., Żyluk A.,: ,,Weryfikacja modelu lotniczego środka bojowego 	badaniami doświadczalnymi”, XXXIX Sympozjon „Modelowanie w 	mechanice”, Wisła 2000.</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">Złocka 	M.:, ,Symulacja numeryczna ruchów samolotu w dowolnej 	konfiguracji lotu i badanie wrażliwości wektora stanu na zmiany 	parametrów konstrukcyjnych”, rozprawa doktorska, PW Wydział 	Mechaniczny Energetyki i Lotnictwa, Warszawa 1982.</fon...",06/07/25,1,"Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca","lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
10,1055,"opisProjektuMetodykaBadan","<meta http-equiv=""CONTENT-TYPE"" content=""text/html; charset=utf-8"" />
<title></title>
<meta name=""GENERATOR"" content=""OpenOffice.org 1.1.0  (Linux)"" />
<meta name=""AUTHOR"" content=""LSK"" />
<meta name=""CREATED"" content=""20060707;13290000"" />
<meta name=""CHANGEDBY"" content=""Pietraszek"" />
<meta name=""CHANGED"" content=""20060707;13290000"" />
<meta name=""CLASSIFICATION"" content=""Birthday "" />
<meta name=""DESCRIPTION"" content=""Shankar's Birthday falls on 25th July.  Don't Forget to wish him"" />
<meta name=""KEYWORDS"" content=""Birthday"" /><style type=""text/css"">
	<!--
		@page { margin: 2cm }
		P { margin-bottom: 0.21cm }
		P.western { font-family: ""Nimbus Roman No9 L"", serif }
	-->
	</style>
<p class=""western"" style=""margin-left: 0,5cm; text-indent: 0,14cm; margin-bottom: 0cm; font-family: arial; text-align: justify;""> <font color=""#000000"" size=""3"">Przewidywane są następujące metody badań:</font></p>
<div style=""text-align: justify;""> </div>
<ol style=""font-family: arial; text-align: justify;"">
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">obliczeniowa,</font></p>
    </li>
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">doświadczalna 	(przeprowadzenie serii badań naziemnych i w locie).</font></p>
    </li>
</ol>
<div style=""text-align: justify;""> </div>
<p class=""western"" style=""margin-left: 1,27cm; margin-bottom: 0cm; font-family: arial; text-align: justify;""><font size=""3""><br /></font> </p>
<div style=""text-align: justify;""> </div>
<p style=""margin-left: 0,5cm; text-indent: 0cm; margin-bottom: 0cm; line-height: 100%; font-family: arial; text-align: justify;""> <font color=""#000000"" size=""3"">Ad 1) Metoda obliczeniowa sprowadza się do realizacji procesu modelowania, a więc:</font></p>
<div style=""text-align: justify;""> </div>
<ul style=""font-family: arial; text-align: justify;"">
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font size=""3""><font color=""#000000"">opracowania 	modeli fizycznych lotniczych środków bojowych stanowiących 	uzbrojenie śmigłowca;</font></font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">opracowania 	funkcjonalnego modelu algorytmu celowniczego;</font></p>
    </li>
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font size=""3""><font color=""#000000"">opracowania 	informatycznego modelu (program komputerowy) celowniczego<br />i 	wykorzystania go w systemie sterowania uzbrojeniem modernizowanego 	śmigłowca.</font></font></p>
    </li>
</ul>
<div style=""text-align: justify;"">
<p style=""font-family: arial;""><font size=""3"">Kolejnym elementem metody będą badania symulacyjne, w ramach których zostanie przeanalizowane zjawisko użycia środków bojowych dla różnych warunków początkowych tzn. dla różnych warunków lotu śmigłowca, a następnie przeprowadzone zostaną badania numeryczne.</font></p>
<font size=""3""><span style=""font-family: arial;"">Ad2) Metodą badań w locie, które z definicji są badaniami kwalifikującymi przedmiot badań, zostaną wyznaczone charakterystyki dynamiczne środków bojowych. Wyniki badań w locie będą służyły do weryfikacji opracowanego informatycznego modelu celowniczego.</span></font> </div>
<br />",06/07/25,1,"Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca","lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
