,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD
0,916,opisProjektuCelNaukowy,Cel naukowy projektu 1.,06/07/04,1,Paweł 1,asddvv,2
1,916,opisProjektuCelNaukowy,Cel naukowy projektu 1.,06/07/04,1,Paweł 1,asddvv,2
2,1055,opisProjektuCelNaukowy,"<strong><font face=""Arial"">
<p align=""justify"">P<font size=""3"">rzesłanki proponowanego tematu:</font></p>
</font><font face=""Arial"" size=""3"">
<p align=""justify"">W armiach wielu śmigłowce wprowadzano stopniowo, w miarę doskonalenia sprzętu oraz gromadzenia doswiadczeń w bojowym ich wykorzystaniu. Śmigłowce pełniły  początkowo ograniczoną rolę  -  zabezpieczały łączność,  pełniły służbę  ratowniczo-sanitarną,  używane były do korygowania ognia artylerii, a nieco później wykorzystywane były do zadań transportowych. <br /> </p>
<p align=""justify""><font face=""Arial"">Pierwsze próby użycia śmigłowców na polu walki miały miejsce w czasie wojny indochińskiej przez Francuzów. Próbowano je używać do ewakuacji okrążonych sił i rannych z twierdzy Dien Bien Phu. W czasie następnej wojny w Algierii śmigłowce znalazły znów </font><font face=""Arial"">zastoso</font><font face=""Arial"">wanie. W 1955 roku utworzono początkowo zgrupowanie śmigłowców wojskowych, które wyk</font><font face=""Arial"">o</font><font face=""Arial"">nywały zadania ewakuacji rannych, łączności i transportu. Później stopniowo zaczęto je używać do rozpoznania w rejonach pustynnych, przerzutu grup koma</font><font face=""Arial"">ndosów i ich wsparcia. </font></p>
<p align=""justify""><font face=""Arial"">W ten sposób śmigłowiec stał się platformą do przenoszenia różnorakiego uzbrojenia. Z</font><font face=""Arial"">a</font><font face=""Arial"">kres taktycznego wykorzystania uzbrojenia na śmigłowcu jest szeroki i różnorodny. ŚmigŁowiec jako platforma przenosząca uzbrojenie może posiadać uzbrojenie arty</font><font face=""Arial"">leryjskie, rakietowe kierowane i niekierowane, systemy minowania itd. </font><font face=""Arial"">Te różnorodne zastosowania śmigłowiec zawdzięcza swoim specyficznym charakteryst</font><font face=""Arial"">y</font><font face=""Arial"">kom lotnym tj.: możliwościami startu i lądowania z dowolnego miejsca, zawisu, różnorodnymi prędkościami lotu, lotu na małej wysokości i wg profilu terenu, możliwościami działań w miastach i lasach itd. </font></p>
<p align=""justify""><font face=""Arial"">Śmigłowce uzbrojone powstawały początkowo przez wyposażenie w systemy uzbrojenia już istniejące śmigłowce, później zaczęto opracowywać śmigłowce do zaplanowane</font><font face=""Arial"">go syste</font><font face=""Arial"">mu uzbrojenia. Przy zabudowie uzbrojenia na śm</font><font face=""Arial"">i</font><font face=""Arial"">głowcu nieodzownym jest znalezienie kompromisu technicznego rozwiązania spełniającego z jednej strony zapewnienia wymaganej skuteczności porażenia celów (naziemnych, powietr</font><font face=""Arial"">znych), z drugiej zapewnienie</font><font face=""Arial""> warunków pracy uzbrojenia bez naruszenia podstawowych właściw</font><font face=""Arial"">oś</font><font face=""Arial"">ci lotnych śmigłowca.</font><font face=""Arial""> <br /></font></p>
<p align=""justify""><font face=""Arial"">Wystąpienie z wnioskiem o projekt badawczy opiera się na następujących przesłankach:<br />- dużej aktualności tematyki związanej z pracami dotyczącymi modyfikacji śmigłowca jako platformy przenoszącej uzbrojenie, a w tym wyposażenie w nowy system nawigacyjno-celowniczy;</font><font face=""Arial""><br />- wiedzy i doświadczeni</font><font face=""Arial"">u</font><font face=""Arial""> zespołu realizatorów w zakresie badania lotniczych środków boj</font><font face=""Arial"">owych <br />i systemów uzbrojenia lotniczego.</font><font face=""Arial""> </font></p>
<p align=""justify""><font face=""Arial"">Analizując możliwości uzbrojenia śmigłowca, należy problematykę tę rozpatrywać systemowo. Systemem uzbrojenia pokładowego nazwano układ organizacyjny i funkcjonalny obejmujący następujące elementy:<br />- nosiciel:<br />    - podsystem celowniczy;<br />    - podsystem sterowania bronią;<br />- broń:<br />    - stanowisko broni;<br />    - środki bojowe;<br />- pilot-operator.<br />    Podstawowym celem projektu jest opracowanie matematycznego modelu podsystemu celowniczego będącego elementem systemu uzbrojenia śmigłowca. Model podsyste...",06/07/25,1,Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca,"lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
3,1076,opisProjektuCelNaukowy,"<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 6pt 18pt; TEXT-ALIGN: justify; tab-stops: list 45.0pt"" align=""justify""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-SIZE: 11pt; FONT-FAMILY: Arial; mso-bidi-font-size: 12.0pt; mso-bidi-font-family: ’Times New Roman’""><font size=""3"">W wyniku przeprowadzonych badań przygotowane zostaną mieszanki benzyn i bioetanolu umożliwiające zasilanie tłokowych silnik&oacute;w lotniczych. Wytypowana zostanie optymalna mieszanka pod względem osiągniętych parametr&oacute;w technicznych silnika jak i toksyczności spalin. Opracowana zostanie technologia tworzenia mieszanek oraz określony zostanie ich wpływ na materiały stosowane w konstrukcjach silnik&oacute;w lotniczych z ewentualnym podaniem zamiennik&oacute;w materiałowych. Opanowane zostaną wymagane zmiany w konstrukcji tłokowego silnika lotniczego.</font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 6pt 18pt; TEXT-ALIGN: justify; tab-stops: list 45.0pt"" align=""justify""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-SIZE: 11pt; FONT-FAMILY: Arial; mso-bidi-font-size: 12.0pt; mso-bidi-font-family: ’Times New Roman’; mso-fareast-font-family: ’Times New Roman’; mso-fareast-language: EN-US; mso-ansi-language: PL; mso-bidi-language: AR-SA""><font size=""3"">Przedstawiona zostanie dokumentacja technologiczna mieszanek etanolowych oraz dokumentacja element&oacute;w tłokowego silnika lotniczego uwzględniająca konieczne zmiany konstrukcyjne. Określony zostanie wpływ dodatk&oacute;w etanolu na toksyczność spalin. Wykonana zostanie specjalna pr&oacute;ba trwałościowa 150&nbsp;h na zmodyfikowanym silniku w celu określenia wpływu etanolu na żywotność element&oacute;w silnika zgodnie z przepisami FAR Part 33 (Endurance test) jako baza dla procesu certifikacyjnego zmierzającego do tzw. Suplemental Type Certyficate.</font></span></strong></p>",06/07/20,1,Eksperymentalna ocena paliw z bioetanolem do tłokowych silników lotniczych,"biopaliwo, paliwo lotnicze, emisja, cząstki stałe, ekologia, tłokowy silnik lotniczy ",173
4,1155,opisProjektuCelNaukowy,"<div>Stawiamy sobie dwa gł&oacute;wne cele naukowe: zaprojektowanie nowych protokoł&oacute;w bezpiecznego przesyłu informacji kanałami kwantowymi oraz opracowanie nowych schemat&oacute;w korekcji kwantowych błęd&oacute;w. Cele te są ściśle ze sobą związane jednakże otrzymane wyniki można wykorzystać niezależne - korekcja błęd&oacute;w kwantowych ważna jest nie tylko w kontekście przesyłu danych, ale także dla obliczeń kwantowych. Zar&oacute;wno w obliczeniach kwantowych jak i w transmisji informacji kanałami kwantowymi należy liczyć się z destruktywnym wpływem środowiska na przetwarzaną informację. Aby m&oacute;c ograniczyć ten destruktywny wpływ środowiska należy opracować metody detekcji i korekcji takich typowo kwantowych błęd&oacute;w zanim będziemy w stanie rozpocząć eksperymenty nad wykorzystaniem tych metod w rzeczywistych zastosowaniach. Podobnie nadal potrzebne są propozycje nowych, łatwiejszych w praktycznej implementacji, protokoł&oacute;w bezpiecznej dystrybucji kluczy używanych w kryptografii czy to klasycznej czy kwantowej.</div>",06/07/24,1,Kwantowo-mechaniczne systemy bezpiecznego przepływu informacji,"kryptografia kwantowa, kwantowa korekcja błędów",173
5,1235,opisProjektuCelNaukowy,"<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-INDENT: 22.7pt; TEXT-ALIGN: justify""><strong><span style=""mso-ansi-language: PL""><font size=""3""><font face=""Times New Roman"">Celem badań jest identyfikacja specyfiki funkcjonowania organ&oacute;w decyzyjnych wojsk lądowych SZ RP podczas realizacji zadań w okresie pokoju, kryzysu i wojny w ujęciu narodowym, sojuszniczym i międzynarodowym.<o:p></o:p></font></font></span></strong></p>
<p class=""habilitacjaJW"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; LINE-HEIGHT: normal""><strong><span style=""FONT-SIZE: 12pt""><font face=""Times New Roman"">Cel projektu wskazuje na jego teoretyczną, praktyczną i dydaktyczną użyteczność. Dlatego mam nadzieję, że znajdzie on swoje miejsce w całokształcie dorobku nauk wojskowych, jako wkład w rozw&oacute;j wiedzy o przedmiocie badań, posłuży innym badaczom za inspirację do poszerzenia wiedzy o specyfice funkcjonowania organ&oacute;w decyzyjnych wojsk lądowych w nowych uwarunkowaniach, a także umożliwi doskonalenie działalności<span style=""mso-spacerun: yes"">&nbsp; </span>innych instytucji naukowych, zajmujących się powyższą problematyką.<o:p></o:p></font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-INDENT: 18.15pt; TEXT-ALIGN: justify""><strong><span style=""mso-ansi-language: PL""><font size=""3""><font face=""Times New Roman"">W wyniku szerokich i wnikliwych badań naukowych zostanie stworzona teoria naukowa pozwalająca na określenie zbioru zmiennych objaśniających występujących w zagadnieniach modelowania procesu doskonalenia struktur organizacyjnych organ&oacute;w decyzyjnych wojsk lądowych, doskonalenia kadr tychże organ&oacute;w oraz podejmowania decyzji. Teoria ta w istotny spos&oacute;b wpłynie na obszar i zakres modelowanych zjawisk pola walki w kontekście funkcjonowania organ&oacute;w decyzyjnych wojsk lądowych w nowych uwarunkowaniach wsp&oacute;łczesnego świata.<o:p></o:p></font></font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-INDENT: 18.15pt; TEXT-ALIGN: justify""><strong style=""mso-bidi-font-weight: normal""><span style=""mso-ansi-language: PL""><font size=""3""><font face=""Times New Roman"">Rozw&oacute;j technologii informatycznych stał się ważnym czynnikiem decydującym o efektywności funkcjonowania organ&oacute;w decyzyjnych, a tym samym uzyskania przewagi w tym obszarze nad potencjalnym przeciwnikiem, jedynie metodami usprawniania podsystemu informacyjnego (zdobywanie, przechowywanie, przetwarzanie, obieg informacji, itp.). Usprawnianie cyklu decyzyjnego w procesie dowodzenia poprzez automatyzację wykonywania określonych czynności przez poszczeg&oacute;lne kom&oacute;rki funkcjonalne stanowisk dowodzenia (kierowania) organ&oacute;w decdyzyjnych wojsk lądowych, na r&oacute;żnych poziomach dowodzenia, datuje się od początku lat sześćdziesiątych dwudziestego wieku. Rozw&oacute;j zautomatyzowanych system&oacute;w dowodzenia jest przejawem dążenia sił zbrojnych poszczeg&oacute;lnych państw do nowoczesności. <span style=""LAYOUT-GRID-MODE: line"">Dążenie do nowoczesności dotyczy także Wojsk Lądowych Sił Zbrojnych RP, kt&oacute;re powinny być w stanie zapewnić integralność i nienaruszalność granic Polski.</span><o:p></o:p></font></font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-INDENT: 18.15pt; TEXT-ALIGN: justify""><strong><span style=""mso-ansi-language: PL""><font size=""3""><font face=""Times New Roman"">Podjęcie niniejszej problematyki uzasadnione jest przede wszystkim brakiem kompleksowego rozwiązania zagadnień wykorzystania zautomatyzowanych system&oacute;w dowodzenia (symulacji) w procesie doskonalenia struktur organizacyjnych i kadr organ&oacute;w decyzyjnych oraz proces&oacute;w decyzyjnych. Istniejące prototypy rozwiązań zautomatyzowanych system&oacute;w dowodzenia są skomplikowane. Posiadają bardzo duże wymagania sprzętowe oraz bardzo słabą relację koszt &ndash; efekt. Poszczeg&oacute;lne, liczne pr&oacute;by rozwiązań funkcjonuj...",06/07/16,1,ORGANA DECYZYJNE WOJSK LĄDOWYCH W NOWYCH UWARUNKOWANIACH WSPŁCZESNEGO ŚWIATA,"Dowództwo Wojsk Lądowych, organa dowodzenia, proces doskonalenia organizacji",173
6,1275,opisProjektuCelNaukowy,"<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Celem naukowym projektu jest zaprojektowanie i uruchomienie stanowiska laboratoryjnego służącego do badania fałszywych kart płatniczych.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Problemem badawczym jest stworzenie właściwej i maksymalnie pełnej struktury danych uzyskiwanych z możliwych badań kryminalistycznych, kt&oacute;ra uwzględni wszystkie potrzeby analityczne. <o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 17.85pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Stanowisko laboratoryjne wyposażone w sprzęt niezbędny do badań informatycznych, nośnika magnetycznego, materiału, dokument&oacute;w oraz w sprzęt fotograficzny pozwoli na uzyskanie wszystkich parametr&oacute;w, kt&oacute;re mogą świadczyć o oryginalności bądź fałszywości karty płatniczej. Rozpoznanie i skojarzenie parametr&oacute;w fałszywych kart płatniczych pozwoli powiązać miejsca produkcji i producent&oacute;w ujawnionych fałszywych kart płatniczych. Dzięki znalezieniu wsp&oacute;lnych element&oacute;w w r&oacute;żnych, prowadzonych przez policję sprawach &bdquo;kartowych&rdquo; będzie można ustalić i być może likwidować źr&oacute;dła ich produkcji. Ujawnienie podobieństw fałszywych kart płatniczych powinno pozwolić na skoordynowanie działań prowadzonych w tych sprawach przez r&oacute;żne jednostki organ&oacute;w ścigania. Dzięki badaniom na stanowisku laboratoryjnym zostanie pogłębiona techniczna wiedza specjalistyczna pozwalająca efektywnie przeciwdziałać &bdquo;przestępczości kartowej&rdquo;.<o:p></o:p></span></p>",06/07/20,1,Projekt i wykonanie stanowiska badania fałszywych kart płatniczych,"carding, karta płatnicza, cyberprzestępczość, inforensics",173
7,1315,opisProjektuCelNaukowy,"&nbsp; Celem pracy jest:
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>opracowanie i wykonanie modelu bezpiecznych urządzeń sieciowych i zbudowanie przy ich użyciu modelu laboratoryjnego bezpiecznej sieci typu Internet/Intranet,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>opracowanie koncepcji i projekt&oacute;w bezpiecznych sterownik&oacute;w i komputer&oacute;w do wsp&oacute;łpracy z sieciami typu Internet/Intranet.</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>wykonanie modelu bezpiecznego sterownika i przeprowadzenie jego badań</div>
<div>Przestępstwa i działania destrukcyjne w sieciami typu Internet/Intranet są poważnym problemem w skali światowej &ndash; ich skutkiem są straty liczone w setkach miliard&oacute;w dolar&oacute;w. Rzeczywisty rozmiar strat jest trudny do ustalenia, gdyż wiele instytucji, jak np. banki nie podaje informacji o stratach powodowanych przez przestępczość internetową. </div>
<div>Gł&oacute;wną przyczyną występowania przestępstw/ działań destrukcyjnych w sieciach typu Internet/Intranet jest możliwość uzyskania anonimowości przez przestępcę. Jest to skutkiem łatwości ukrywania i fałszowania tożsamości, czyli adresu IP, przez użytkownika sieci Internet/Intranet.</div>
<div>Opracowane zostaną projekty i modele bezpiecznych urządzeń sieciowych, czyli urządzeń nie pozwalających na ukrycie lub sfałszowanie adresu IP, i stwarzających przez to podstawy do szybkiego wykrywania i blokowania użytkownik&oacute;w niepewnych (użytkownik&oacute;w, kt&oacute;rych działania wskazują na zamiar podjęcia działań destrukcyjnych).</div>
<div>Opracowanie bezpiecznych urządzeń sieciowych pozwoli na budowę nowych, bezpiecznych sieci Internet/Intranet - bezpieczna sieć Internet będzie oddzielona od obecnej sieci Internet, obie sieci będą istniały r&oacute;wnolegle, lecz będą całkowicie odrębne.</div>
<div>W ramach projektu w oparciu o opracowane modele bezpiecznych urządzeń sieciowych zbudowana zostanie testowa laboratoryjna sieć typu bezpieczny Internet/Intranet i przeprowadzone jej badania. </div>
<div>Zostaną przygotowane i złożone międzynarodowe (PCT) zgłoszenia patentowe wynalazk&oacute;w w zakresie opracowanych konstrukcji bezpiecznych urządzeń sieciowych. </div>
<div>Istotną przyczyną przestępstw w Internecie jest także możliwość użycia każdego sterownika czy komputera podłączonego do Internetu przez osoby nieupoważnione czyli możliwość tzw. włamania na sterownik/komputer. </div>
<div>Opracowane zostaną koncepcje, projekty i modele bezpiecznych sterownik&oacute;w i komputer&oacute;w, czyli sterownik&oacute;w i komputer&oacute;w o konstrukcji uniemożliwiającej włamania. Bezpieczne sterowniki i komputery będzie można podłączać do obecnych sieci Internet/Intranet oraz do nowych sieci bezpiecznych. Wykonane zostaną badania bezpieczeństwa pracy opracowanych modeli bezpiecznych sterownik&oacute;w i komputer&oacute;w w obydw&oacute;ch rodzajach sieci komputerowych. </div>
<div>Zostaną przygotowane i złożone międzynarodowe (PCT) zgłoszenia patentowe wynalazk&oacute;w w zakresie opracowanych konstrukcji bezpiecznych sterownik&oacute;w i komputer&oacute;w. </div>",06/07/31,1,Bezpieczne sieci typu Internet/Intranet oraz bezpieczne komputery i sterowniki do pracy w sieciach tego typu.,"Internet, Intranet, bezpieczeństwo, sieci komputerowe, komputery",173
8,1335,opisProjektuCelNaukowy,"&nbsp;
<div align=""justify"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Celem projektu jest opracowanie system&oacute;w sterowania i nawigacji opartych na układzie inercjalnym dla bomb lotniczych i pojazd&oacute;w lądowych. W zaproponowanym rozwiązaniu pozycja sterowanego obiektu wyznaczana jest na początku misji przez system GPS lub inny. Następnie określana jest pozycja docelowa oraz trajektoria po jakiej mamy do niej dotrzeć. W trakcie wykonywania misji kontrolę nad ruchem obiektu sprawuje układ nawigacji inercjalnej INS. Badania mają koncentrować się na wykorzystaniu tego typu systemu nawigacji do dw&oacute;ch obszar&oacute;w zastosowań: samonaprowadzających bomb lotniczych autonomicznych oraz pojazd&oacute;w lądowych (rozpoznanie i rekonesans lub likwidacji min i ładunk&oacute;w wybuchowych). Zagadnienia te z pozoru odległe mają ze sobą dużo wsp&oacute;lnego. Zar&oacute;wno w jednym jak i w drugim przypadku mamy ograniczone możliwości korzystania z układu GPS w trakcie wykonywanej misji. W przypadku bomb lotniczych zastosowanie układu GPS na ich pokładzie jest kosztowne a ponadto nawet chwilowa utrata sygnału z GPS może uniemożliwić ich poprawne naprowadzanie. Z tego powodu posiadają one zazwyczaj zintegrowany system nawigacyjny GPS/INS. Wykorzystanie samego INS upraszcza i potania układ sterowania.Praca autonomicznych niewielkich pojazd&oacute;w przeznaczonych do cel&oacute;w bojowych wymaga często pracy w warunkach &bdquo;ciszy elektromagnetycznej&rdquo; ponadto w warunkach miejskich sygnał GPS ma duże zakł&oacute;cenia przez co dokładność określenia własnej pozycji może być zbyt mała jak na potrzeby wykonywanej misji. </div>
<div align=""justify""><span>&nbsp;&nbsp; Pierwszym etapem będzie opracowanie systemu naprowadzania dla bomb lotniczych. Określenie pozycji celu i bomby w chwili zrzutu jest dokonywane na podstawie urządzeń GPS. Pierwszy określa wskazujący cele, drugi urządzenie na pokładzie nosiciela. Badania w tym przypadku prowadzone będą w oparciu o model symulacyjny bomby. Bomba będzie sterowana przez zestaw impulsowych, jednorazowych silnik&oacute;w korekcyjnych. Podczas sterowania bezpośredniego siły sterujące, w omawianym przypadku od silnik&oacute;w rakietowych, skierowane są prostopadle i działają bezpośrednio na środek masy zmieniając kierunek jego lotu. W projekcie proponujemy zastosowanie silnik&oacute;w na paliwo stałe, rozmieszczonych w taki spos&oacute;b, aby ciąg od poszczeg&oacute;lnych silnik&oacute;w działał bezpośrednio na środek masy bomby w kierunku prostopadłym do jej osi symetrii. Zesp&oacute;ł nasz prowadził już liczne prace nad tego typu układami wykonawczymi sterowania i chcemy skorzystać z wcześniejszych naszych doświadczeń i opracowań.</span></div>
<div>Największe zalety takiego sterowania w stosunku do tradycyjnych ster&oacute;w aerodynamicznych to:</div>
<div align=""justify"">&middot;<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Większa szybkość działania, inercyjność obiektu na sterowanie jest o dwa rzędy mniejsza od sterowania przy użyciu ster&oacute;w aerodynamicznych.</div>
<div align=""justify"">&middot;<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Wyeliminowanie mechanicznych element&oacute;w ruchomych, co zwiększa niezawodność działania i zmniejsza zapotrzebowanie na energię (np. elektryczną) zasilającą stery.</div>
<div align=""justify"">&middot;<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Podczas sterowania występują znacznie mniejsze kąty natarcia i ślizgu komplikujące pomiar położenia celu.</div>
<div align=""justify"">&middot;<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Mniej skomplikowana aerodynamika obiektu w stosunku do klasycznego sterowania aerodynamicznego gdzie konieczny jest kompromis między jego statecznością a sterownością.</div>
<div>&nbsp;</div>
<div align=""justify"">&nbsp;&nbsp; Rozwiązanie tego typu będzie możliwe do zastosowania w każdej typowej bombie małych wagomiar&oacute;w. Dostosowaniu podlegać będzie...",06/07/21,1,Autonomiczny system sterowania bomb lotniczych,"sterowanie autonomiczne, układy nawigacyjne",183
9,1415,opisProjektuCelNaukowy,"<div>Na projekt składa się kilka powiązanych ze sobą obszar&oacute;w tematycznych:</div>
<div>1. Zagrożenia kleptograficzne i metody przeciwdziałania im,</div>
<div>2. Problem zachowania anonimowości w elektronicznym obrocie informacji,</div>
<div>3. Ochrona danych i uwierzytelnianie w protokołach sieciowych,</div>
<div>4. Teoretyczne aspekty kryptografii i kryptoanalizy.</div>
<div>Cele związane z tymi tematami są om&oacute;wione odrębnie poniżej.</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div style=""TEXT-ALIGN: justify"" align=""justify"">1. Gł&oacute;wnym zadaniem w tym temacie jest identyfikacja zagrożeń kleptograficznych, jakie mogą pojawić się w wyniku implementacji protokoł&oacute;w kryptograficznych zar&oacute;wno na platformie sprzętowej jak i&nbsp;programowej, oraz zaproponowanie og&oacute;lnych mechanizm&oacute;w zapewniających odporność na tego typu zagrożenia. Projekt obejmować ma poszukiwanie zar&oacute;wno nowych algorytm&oacute;w, jak i innego podejścia do konstrukcji i implementacji (znanych) protokoł&oacute;w w środowisku systemu teleinformatycznego. W&nbsp;szczeg&oacute;lności zakładać będziemy, że tak zwane &bdquo;bezpieczne urządzenia&rdquo; mogą zawierać wrogi kod. Proponowane badania mają dostarczyć sposob&oacute;w na wykrywanie atak&oacute;w kleptograficznych oraz metod i&nbsp;procedur zapewniających możliwość bezpiecznego używania urządzeń, nawet jeśli te zawierają wrogi kod.<br /><br /><br /></div>
<div></div>
<div style=""TEXT-ALIGN: justify"" align=""justify"">2. Celem tej części projektu jest zar&oacute;wno zaproponowanie nowych, jak i badanie własności istniejących protokoł&oacute;w zapewniających szeroko rozumianą anonimowość. Do obszaru badań należą tu także problemy powstające przy implementacji wspomnianych protokoł&oacute;w. </div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div style=""TEXT-ALIGN: justify"" align=""justify"">3.&nbsp;&nbsp;Celem badań w tym temacie jest identyfikacja zagrożeń w istniejących protokołach uwierzytelniania związanych z aspektami implementacyjnymi oraz: </div>
<div align=""justify"">&bull; zaprojektowanie nowych procedur uwierzytelniania pozwalających zagwarantować stosunkowo wysoki poziom bezpieczeństwa nawet w sytuacji, gdy w środowisku (na maszynie) użytkownika działa wrogie oprogramowanie, </div>
<div style=""TEXT-ALIGN: justify"" align=""justify""></div>
<div align=""justify"">&bull; zaprojektowanie rozwiązań umożliwiających zarządzanie kluczami w dynamicznym systemie rozproszonym, a w szczeg&oacute;lności zaproponowanie efektywnych metod wykluczania użytkownik&oacute;w z system&oacute;w opartych o kodowanie informacji systemami symetrycznymi. </div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div style=""TEXT-ALIGN: justify"" align=""justify"">4. Celem tej części projektu jest zar&oacute;wno dostarczenie modeli, narzędzi i metod matematycznych potrzebnych do realizacji zadań związanych z om&oacute;wionymi już grupami tematycznymi jak i badania struktur losowych, struktur algebraicznych i wybranych zagadnień kryptografii kwantowej prowadzone pod kątem ich zastosowań w kryptologii. Interesować nas będzie zar&oacute;wno kryptografia symetryczna (kryptoanaliza r&oacute;żnicowa) jak i asymetryczna. W pierwszym przypadku zamierzamy, między innymi, kontynuować badania oszacowań maksymalnego prawdopodobieństwa r&oacute;żniczki przy założeniu innego niż jednostajny rozkładu prawdopodobieństwa permutacji modelującej szyfr symetryczny. W kryptografii z kluczem publicznym w centrum naszego zainteresowania znajduje się projektowanie i analiza algorytm&oacute;w generujących parametry nowoczesnych kryptosystem&oacute;w. W szczeg&oacute;lności interesować nas będą metody wyboru kluczy kryptograficznych uodporniające kryptosystem na pewne ataki oraz twierdzenia dotyczące oszacowania czasu działania takich algorytm&oacute;w. Przykładami struktur losowych, kt&oacute;re objęte zostaną naszymi badaniami...",06/07/27,1,Bezpieczeństwo informacyjne e-społeczeństwa,"kryptologia, struktury losowe, kryptografia, kleptografia, anonimowość, uwierzytelnianie",173
