,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD
0,3356,opisProjektuEfekt,"<p>Rozprawa habilitacyjna kierownika projektu</p>
<p>Publikacje w czasopismach krajowych (Stomatologia Wsp&oacute;łczesna, Dental and Medical&nbsp; Problems) oraz w jednym z czasopism zagranicznych objętych Impact Factor (Journal of Periodontology, Journal of Clinical Periodontology).</p>
<p>Referaty na konferencjach w Polsce i za granicą.</p>
<p>Możliwe wdrożenie poligenowego testu określającego potencjalne ryzyko i prawdopodobną dynamikę choroby przyzębia</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",07/01/29,23,Wpływ genotypu i składu bakteryjnego kieszonki na stan kliniczny przyzębia,"genetyka, bakterie, choroba przyzębia",173
1,3841,opisProjektuEfekt,"<p align=""justify"">Wyniki badań będą upowszechniane jako publikacje naukowe w renomowanych czasopismach naukowych o zasięgu międzynarodowym i prezentowane na konferencjach naukowych w kraju (m.in. Kongresach Polskiego Towarzystwa Osteoporozy i Osteoartrozy) i za granicą (np. na 19 Międzynarodowym Kongresie Żywieniowym w 2009).</p>",07/01/25,23,Badanie wzorów spożycia produktów mlecznych przez matki i ich córki w relacji do statusu tkanki kostnej i zagrożenia kobiet niedoborami wapnia i osteoporozą. Projekt MODAF,"aktywność fizyczna, córki, matki, osteoporoza, produkty mleczne, spożycie, stan odżywienia, status tkanki kostnej, środowisko rodzinne, wapń, wzory spożycia",183
2,4203,opisProjektuEfekt,"<p align=""justify"">Dodatkowo uzyskane wyniki badań stanowić będą solidny zas&oacute;b wiedzy anatomicznej o <strong><u>charakterze poznawczym</u></strong> i niewątpliwie w znacznym stopniu przyczynią się do wyjaśnienia mechanizm&oacute;w leżących u podstaw funkcjonowania autonomicznego układu nerwowego. Rezultaty badań uzyskane w ramach projektu badawczego zostaną przedstawione na zagranicznych (lub krajowych) konferencjach naukowych oraz w formie <strong><u>1-2 prac oryginalnych</u></strong> opublikowanych w renomowanych czasopismach zachodnich z <strong><u>tzw. listy filadelfijskiej.</u></strong></p>",07/01/25,23,Wpływ hodowli in vitro na kodowanie chemiczne przywspółczulnych neuronów zwoju skrzydłowo-podniebiennego owcy,"plastyczność neuronów, hodowle neuronalne, immunocytochemia, kodowanie chemiczne, zwój skrzydłowo-podniebienny, owca",173
3,4335,opisProjektuEfekt,"<p class=""MsoNormal"" style=""text-align: justify;"">  </p>
<p style=""text-align: justify;"" class=""MsoNormal""><span style="""">Uzyskane wyniki pozwolą utworzenie klimatologii aerozolu dla obszaru Warszawy i okolic. Zostaną one zaprezentowane w postaci doniesień konferencyjnych oraz publikacji w czasopismach o zasięgu międzynarodowym.<o:p></o:p></span></p>
<p style=""text-align: justify;"" class=""MsoNormal""><span style="""">Baza danych z wynikami pomiarów zostanie udostępniona przez Internet przez interfejs WWW. Dostęp do danych będzie jednak kontrolowany przez wykonawców grantu.<o:p></o:p></span></p>",07/01/29,23,Badanie wpływu aglomeracji miejskiej na właściwości optyczne aerozolu.,"aerozol, właściwości optyczne, promieniowanie słoneczne",173
4,4371,opisProjektuEfekt,"<p style=""margin-left: 0cm; text-align: justify; text-indent: 1cm;"" class=""MsoBodyTextIndent""><font size=""3""><span style=""font-family: Arial;"">Oczekuje się, że wymiernym wynikiem niniejszego projektu będzie urządzenie do oczyszczania wody pitnej za pomocą wyładowania elektrohydraulicznego. Przewiduje się zainteresowanie opracowanym urządzeniem przemysł lub utworzenie małego przedsiębiorstwa ”Spin-off”, celem wdrożenia osiągniętych wyników.<o:p></o:p></span></font></p>
<p style=""margin-left: 0cm; text-align: justify; text-indent: 1cm;"" class=""MsoBodyTextIndent""><font size=""3""><span style=""font-family: Arial;"">Uzyskane wyniki będą wkładem do jednego z priorytetowych kierunków badań, jakim jest ochrona zdrowia i środowiska. Zostaną one przedstawione w formie publikacji w czasopismach naukowych (Journal of Advanced Oxidation Technologies, Czechosloval Journal of Physics) i referatów na konferencjach w kraju i za granicą (11th Int. </span><span lang=""EN-US"" style=""font-family: Arial;"">Symp. on Plasma Chemistry HAKONE, 6<sup>th</sup> Int. Symp. on Non-themal Plasma Technologies, 23rd Symposium on Plasma Physics and Technologies, 14th Symp. on Applications of Plasma Physic), </span></font><span style=""font-family: Arial;""><font size=""3"">a także posłużą do przygotowania rozprawy doktorskiej mgr inż. Emilii Metel, jednej z wykonawców projektu.</font><o:p></o:p></span></p>",07/01/29,23,Oczyszczanie wody z mikroorganizmów za pomocą wyładowań elektrohydraulicznych,"ochrona środowiska, oczyszczanie wody, wyładowania elektryczne, plazma",173
5,4449,opisProjektuEfekt,"Podstawowym &quot;produktem&quot; projektu będzie metodyka wyznaczania strumieni gaz&oacute;w śladowych takich jak CO<sub>2</sub>, CH<sub>4</sub>, CO i atmosferyczny radon na terenach zurbanizowanych, charakteryzujących się dużym zr&oacute;żnicowaniem pokrycia terenu. Metoda będzie oparta na r&oacute;wnoległym pomiarze zmienności stężenia w/w gaz&oacute;w w warstwie przypowierzchniowej oraz głębokości warstwy mieszania w oparciu o sodarowe sondowanie atmosfery. Metodyka ta stanowić może podstawę do szerszego wykorzystania w badaniach emisji na terenach wielkich aglomeracji miejskich. Wyniki uzyskane w trakcie realizacji projektu będą przedmiotem publikacji w czasopismach o zasięgu międzynarodowym. Przewiduje się r&oacute;wnież prezentację opracowanej metodyki oraz wynik&oacute;w uzyskanych w projekcie na specjalistycznych konferencjach naukowych, krajowych i zagranicznych.",07/01/29,23,Ocena wielkości strumieni gazów śladowych na terenie Krakowa z wykorzystaniem pomiarów chromatograficznych oraz sodarowych,"emisje antropogeniczne, gazy śladowe, efekt cieplarniany, zmiany klimatu, miejska warstwa graniczna, ",183
6,4461,opisProjektuEfekt,"<p align=""left""><font size=""3"">Realizacja przedstawionego projektu badawczego powinna w znacznym stopniu przyczynić się do poszerzenia wiedzy w zakresie <u>biologii rozrodu ptak&oacute;w</u>. Wykonane badania powinny doprowadzić do pełnej charakterystyki systemu proteolitycznego plemnik&oacute;w indora. Ponieważ autorzy posiadają wiedzę na temat inhibitor&oacute;w proteinaz serynowych nasienia indora (Kotłowska, 2006), dodatkowo podjęte zostaną pr&oacute;by opisania systemu kontrolującego aktywność proteinaz serynowych plemnik&oacute;w. Opr&oacute;cz wspomianej komponenty poznawczej, proponowany projekt badawczy zawiera także <u>badania aplikacyjne</u>. Badania aplikacyjne ukierunkowane będą na opisanie zmian zachodzących w systemie proteolitycznym akrosomu plemnik&oacute;w oraz analizy ruchliwości plemnik&oacute;w w zakresie szybkości i trajektorii ruchu nasienia przechowywanego i poddanego dializie. Proponowana tematyka badań jest oryginalna, a pomyślne przeprowadzenie badań powinno doprowadzić do powstania publikacji w renomowanych czasopismach. Ponadto badania przedstawione w projekcie zostały zaproponowane studentom Wydziału Bioinżynierii Zwierząt UWM w Olsztynie i w chwili obecnej rozpoczęte zostały badania, kt&oacute;rych efektem będzie praca magisterska.</font></p>",07/01/31,23,Izolacja i charakterystyka proteinaz serynowych plemników indora (Meleagris gallopavo),"proteinazy serynowe, plemniki, indor.",183
7,4501,opisProjektuEfekt,"&nbsp;
<div>Wyniki badań zostaną opublikowane w formie artykuł&oacute;w w międzynarodowych czasopismach. </div>",07/01/29,23,Elektronowe stany wzbudzone polinukleotydów - badania metodą spektroskopii efektu Starka,"DNA, polinukleotydy, stany elektronowe, spektroskopia, efekt Starka",173
8,4509,opisProjektuEfekt,"<p class=""MsoNormal"" style=""text-align: justify; font-family: Times New Roman;""><font size=""3"">Uzyskane wyniki badań będą przedmiotem zgłoszenia patentowego, jak i szeregu wystąpień na konferencjach naukowych krajowych i zagranicznych. Planuje się opublikowanie rezultatów badań w czasopismach naukowych, o zasięgu międzynarodowym, wykazujących wysoki IF. </font></p>
<p class=""MsoNormal"" style=""text-indent: -18pt;""><span style=""font-size: 11pt; font-family: Arial;""><font size=""3""><span style=""font-family: Times New Roman;""> </span></font><o:p></o:p></span></p>",06/12/07,23,Synteza biodegradowalnych i biokompatybilnych kopolimerów z pamięcią kształtu do zastosowań biomedycznych,"biodegradowalność, biokompatybilność,pamięć kształtu, poliester, laktyd. glikolid",173
9,4539,opisProjektuEfekt,"<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt; LINE-HEIGHT: 150%""><span style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial"">Po zakończeniu obserwacji i analizie statystycznej wynik&oacute;w rezultaty badania opracowane zostaną w formie referat&oacute;w&nbsp;na zjazdach naukowych i publikowane w organach następujących towarzystw naukowych:<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; mso-ansi-language: EN-US""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial; mso-ansi-language: EN-US"">Transplantation Society (Transplantation, Transplantation Proceedings),<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; mso-ansi-language: EN-US""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial; mso-ansi-language: EN-US"">American Society of Transplantation (American Journal of Transplantation),<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; mso-ansi-language: EN-US""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial; mso-ansi-language: EN-US"">International Society for Heart &amp; Lung Transplantation (Journal of Heart &amp; Lung Transplantation),<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; mso-ansi-language: EN-US""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial; mso-ansi-language: EN-US"">Polskie Towarzystwo Transplantacyjne (Annals of Transplantation, Transplantation Proceedings),<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Arial"">Polskie Towarzystwo Kardiologiczne (Kardiologia Polska),<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 36pt; TEXT-INDENT: -18pt; LINE-HEIGHT: 150%; mso-list: l0 level1 lfo1; tab-stops: list 36.0pt""><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; mso-ansi-language: EN-US""><span style=""mso-list: Ignore""><font face=""Times New Roman"">-<span style=""FONT: 7pt &quot;Times New Roman&quot;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></font></span></span><span lang=""EN-US"" style=""FONT-SIZE: 11pt; LINE-HEIGHT: 150%; FONT-FAMILY: Aria...",07/01/31,23,Zastosowanie doustnej postaci selektywnego inhibitora fosfodiestrazy typu 5 (sildenafilu) do obniżenia nadciśnienia płucnego u chorych z niewydolnością serca oczekujących na zabieg ortotopowego przeszczepienia serca,"naczyniowy opór płucny, nadciśnienie płucne, niewydolność serca, ortotopowe przeszczepienie serca, inhibitory fosfodiesterazy, sildenafil",173
