,Unnamed: 0,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD,LEMMATIZED
0,0.0,3356.0,opisProjektuEfekt,"rozprawa habilitacyjna kierownika projektu
publikacje w czasopismach krajowych (stomatologia wspłczesna, dental and medical problems) oraz w jednym z czasopism zagranicznych objętych impact factor (journal of periodontology, journal of clinical periodontology).
referaty na konferencjach w polsce i za granicą.
możliwe wdrożenie poligenowego testu określającego potencjalne ryzyko i prawdopodobną dynamikę choroby przyzębia",07/01/29,23.0,Wpływ genotypu i składu bakteryjnego kieszonki na stan kliniczny przyzębia,"genetyka, bakterie, choroba przyzębia",173.0,"rozprawa habilitacyjny kierownik projekt publikacja w czasopismo krajowy ( stomatologia wspłczesna , dental Anda medical problems ) oraz w jeden z czasopismo zagraniczny objąć impact factor ( journal of periodontology , journal of clinical periodontology ) . referat na konferencja w Polska i za granica . możliwy wdrożenie poligenowy test określać potencjalny ryzyka i prawdopodobny dynamika choroba przyzębie"
1,1.0,3841.0,opisProjektuEfekt,wyniki badań będą upowszechniane jako publikacje naukowe w renomowanych czasopismach naukowych o zasięgu międzynarodowym i prezentowane na konferencjach naukowych w kraju (m.in. kongresach polskiego towarzystwa osteoporozy i osteoartrozy) i za granicą (np. na 19 międzynarodowym kongresie żywieniowym w 2009).,07/01/25,23.0,Badanie wzorów spożycia produktów mlecznych przez matki i ich córki w relacji do statusu tkanki kostnej i zagrożenia kobiet niedoborami wapnia i osteoporozą. Projekt MODAF,"aktywność fizyczna, córki, matki, osteoporoza, produkty mleczne, spożycie, stan odżywienia, status tkanki kostnej, środowisko rodzinne, wapń, wzory spożycia",183.0,wynik badanie być upowszechniać jako publikacja naukowy w renomowany czasopismo naukowy o zasiąg międzynarodowy i prezentować na konferencja naukowy w kraj ( między_innymi . kongres polski towarzystwo osteoporoza i osteoartrozy ) i za granica ( na_przykład . na 19 międzynarodowy kongres żywieniowy w 2009 ) .
2,2.0,4203.0,opisProjektuEfekt,dodatkowo uzyskane wyniki badań stanowić będą solidny zasb wiedzy anatomicznej o charakterze poznawczym i niewątpliwie w znacznym stopniu przyczynią się do wyjaśnienia mechanizmw leżących u podstaw funkcjonowania autonomicznego układu nerwowego. rezultaty badań uzyskane w ramach projektu badawczego zostaną przedstawione na zagranicznych (lub krajowych) konferencjach naukowych oraz w formie 1-2 prac oryginalnych opublikowanych w renomowanych czasopismach zachodnich z tzw. listy filadelfijskiej.,07/01/25,23.0,Wpływ hodowli in vitro na kodowanie chemiczne przywspółczulnych neuronów zwoju skrzydłowo-podniebiennego owcy,"plastyczność neuronów, hodowle neuronalne, immunocytochemia, kodowanie chemiczne, zwój skrzydłowo-podniebienny, owca",173.0,dodatkowo uzyskać wynik badanie stanowić być solidny zasb wiedza anatomiczny o charakter poznawczy i niewątpliwie w znaczny stopień przyczynić się do wyjaśnienie mechanizmw leżąca u podstawa funkcjonowanie autonomiczny układ nerwowy . rezultat badanie uzyskać w rama projekt badawczy zostać przedstawić na zagraniczny ( lub krajowy ) konferencja naukowy oraz w forma 1 - 2 praca oryginalny opublikować w renomowany czasopismo zachodni z tak_zwany . list filadelfijski .
3,3.0,4335.0,opisProjektuEfekt,"uzyskane wyniki pozwolą utworzenie klimatologii aerozolu dla obszaru warszawy i okolic. zostaną one zaprezentowane w postaci doniesień konferencyjnych oraz publikacji w czasopismach o zasięgu międzynarodowym.
baza danych z wynikami pomiarów zostanie udostępniona przez internet przez interfejs www. dostęp do danych będzie jednak kontrolowany przez wykonawców grantu.",07/01/29,23.0,Badanie wpływu aglomeracji miejskiej na właściwości optyczne aerozolu.,"aerozol, właściwości optyczne, promieniowanie słoneczne",173.0,uzyskać wynik pozwolić utworzyć klimatologia aerozol dla obszar warszawa i okolica . zostać on zaprezentować w postać doniesienie konferencyjny oraz publikacja w czasopismo o zasiąg międzynarodowy . baza dana z wynik pomiar zostać udostępnić przez internet przez interfejs www . dostęp do dana być jednak kontrolowany przez wykonawca grant .
4,4.0,4371.0,opisProjektuEfekt,"oczekuje się, że wymiernym wynikiem niniejszego projektu będzie urządzenie do oczyszczania wody pitnej za pomocą wyładowania elektrohydraulicznego. przewiduje się zainteresowanie opracowanym urządzeniem przemysł lub utworzenie małego przedsiębiorstwa spin-off, celem wdrożenia osiągniętych wyników.
uzyskane wyniki będą wkładem do jednego z priorytetowych kierunków badań, jakim jest ochrona zdrowia i środowiska. zostaną one przedstawione w formie publikacji w czasopismach naukowych (journal of advanced oxidation technologies, czechosloval journal of physics) ireferatów na konferencjach w kraju i za granicą (11th int. symp. on plasma chemistry hakone, 6th int. symp. on non-themal plasma technologies, 23rd symposium on plasma physics and technologies, 14th symp. on applications of plasma physic), a także posłużą do przygotowania rozprawy doktorskiej mgr inż. emilii metel, jednej z wykonawców projektu.",07/01/29,23.0,Oczyszczanie wody z mikroorganizmów za pomocą wyładowań elektrohydraulicznych,"ochrona środowiska, oczyszczanie wody, wyładowania elektryczne, plazma",173.0,"oczekiwać się , że wymierny wynik niniejszy projekt być urządzenie do oczyszczać woda pitny za pomoc wyładowanie elektrohydrauliczny . przewidywać się zainteresowanie opracować urządzenie przemysł lub utworzyć małe przedsiębiorstwo spin - off , cel wdrożenie osiągnąć wynik . uzyskać wynik być wkład do jeden z priorytetowy kierunek badanie , jaki być ochrona zdrowie i środowisko . zostać on przedstawić w forma publikacja w czasopismo naukowy ( journal of advanced oxidation technologies , czechosloval journal of physics ) ireferatów na konferencja w kraj i za granica ( 11th int . symp . on plasma chemistry hakone , 6th int . symp . on nona - themal plasma technologies , 23rd symposium on plasma physics Anda technologies , 14th symp . on applications of plasma physic ) , a także posłużyć do przygotowanie rozprawa doktorski mgr inż . Emilia metel , jeden z wykonawca projekt ."
5,5.0,4449.0,opisProjektuEfekt,"podstawowym ""produktem"" projektu będzie metodyka wyznaczania strumieni gazw śladowych takich jak co2, ch4, co i atmosferyczny radon na terenach zurbanizowanych, charakteryzujących się dużym zrżnicowaniem pokrycia terenu. metoda będzie oparta na rwnoległym pomiarze zmienności stężenia ww gazw w warstwie przypowierzchniowej oraz głębokości warstwy mieszania w oparciu o sodarowe sondowanie atmosfery. metodyka ta stanowić może podstawę do szerszego wykorzystania w badaniach emisji na terenach wielkich aglomeracji miejskich. wyniki uzyskane w trakcie realizacji projektu będą przedmiotem publikacji w czasopismach o zasięgu międzynarodowym. przewiduje się rwnież prezentację opracowanej metodyki oraz wynikw uzyskanych w projekcie na specjalistycznych konferencjach naukowych, krajowych i zagranicznych.",07/01/29,23.0,Ocena wielkości strumieni gazów śladowych na terenie Krakowa z wykorzystaniem pomiarów chromatograficznych oraz sodarowych,"emisje antropogeniczne, gazy śladowe, efekt cieplarniany, zmiany klimatu, miejska warstwa graniczna, ",183.0,"podstawowy &quot; produkt &quot; projekt być metodyk wyznaczać strumień gazw śladowy taki jak co2 , ch4 , co i atmosferyczny radon na teren zurbanizować , charakteryzować się duży zrżnicowaniem pokrycie teren . metoda być oprzeć na rwnoległym pomiar zmienność stężenie ww gazw w warstwa przypowierzchniowy oraz głębokość warstwa mieszać w oparcie o sodarowe sondowanie atmosfera . metodyk ta stanowić może podstawa do szeroki wykorzystanie w badanie emisja na teren wielki aglomeracja miejski . wynik uzyskać w trakt realizacja projekt być przedmiot publikacja w czasopismo o zasiąg międzynarodowy . przewidywać się rwnież prezentacja opracować metodyka oraz wynikw uzyskać w projekt na specjalistyczny konferencja naukowy , krajowy i zagraniczny ."
6,6.0,4461.0,opisProjektuEfekt,"realizacja przedstawionego projektu badawczego powinna w znacznym stopniu przyczynić się do poszerzenia wiedzy w zakresie biologii rozrodu ptakw. wykonane badania powinny doprowadzić do pełnej charakterystyki systemu proteolitycznego plemnikw indora. ponieważ autorzy posiadają wiedzę na temat inhibitorw proteinaz serynowych nasienia indora (kotłowska, 2006), dodatkowo podjęte zostaną prby opisania systemu kontrolującego aktywność proteinaz serynowych plemnikw. oprcz wspomianej komponenty poznawczej, proponowany projekt badawczy zawiera także badania aplikacyjne. badania aplikacyjne ukierunkowane będą na opisanie zmian zachodzących w systemie proteolitycznym akrosomu plemnikw oraz analizy ruchliwości plemnikw w zakresie szybkości i trajektorii ruchu nasienia przechowywanego i poddanego dializie. proponowana tematyka badań jest oryginalna, a pomyślne przeprowadzenie badań powinno doprowadzić do powstania publikacji w renomowanych czasopismach. ponadto badania przedstawione w projekcie zostały zaproponowane studentom wydziału bioinżynierii zwierząt uwm w olsztynie i w chwili obecnej rozpoczęte zostały badania, ktrych efektem będzie praca magisterska.",07/01/31,23.0,Izolacja i charakterystyka proteinaz serynowych plemników indora (Meleagris gallopavo),"proteinazy serynowe, plemniki, indor.",183.0,"realizacja przedstawić projekt badawczy powinny w znaczny stopień przyczynić się do poszerzenie wiedza w zakres biologia rozród ptakw . wykonać badanie powinny doprowadzić do pełny charakterystyka system proteolityczny plemnikw indor . ponieważ autor posiadać wiedza na temat inhibitorw proteinaza serynowych nasienie indor ( kotłowska , 2006 ) , dodatkowo podjąć zostać prby opisać system kontrolować aktywność proteinaza serynowych plemnikw . oprcz wspomianej komponent poznawczy , proponować projekt badawczy zawierać także badanie aplikacyjny . badanie aplikacyjny ukierunkować być na opisać zmiana zachodzić w system proteolityczny akrosomu plemnikw oraz analiza ruchliwość plemnikw w zakres szybkość i trajektoria ruch nasienie przechowywać i poddany dializa . proponować tematyka badanie być oryginalny , a pomyślny przeprowadzić badanie powinien doprowadzić do powstanie publikacja w renomowany czasopismo . ponadto badanie przedstawić w projekt zostać zaproponować student wydział bioinżynieria zwierzę UWM w Olsztyn i w chwila obecna rozpocząć zostać badanie , ktrych efekt być praca magisterski ."
7,7.0,4501.0,opisProjektuEfekt,wyniki badań zostaną opublikowane w formie artykułw w międzynarodowych czasopismach.,07/01/29,23.0,Elektronowe stany wzbudzone polinukleotydów - badania metodą spektroskopii efektu Starka,"DNA, polinukleotydy, stany elektronowe, spektroskopia, efekt Starka",173.0,wynik badanie zostać opublikować w forma artykułw w międzynarodowy czasopismo .
8,8.0,4509.0,opisProjektuEfekt,"uzyskane wyniki badań będą przedmiotem zgłoszenia patentowego, jak i szeregu wystąpień na konferencjach naukowych krajowych i zagranicznych. planuje się opublikowanie rezultatów badań w czasopismach naukowych, o zasięgu międzynarodowym, wykazujących wysoki if.",06/12/07,23.0,Synteza biodegradowalnych i biokompatybilnych kopolimerów z pamięcią kształtu do zastosowań biomedycznych,"biodegradowalność, biokompatybilność,pamięć kształtu, poliester, laktyd. glikolid",173.0,"uzyskać wynik badanie być przedmiot zgłoszenie patentowy , jak i szereg wystąpienie na konferencja naukowy krajowy i zagraniczny . planować się opublikować rezultat badanie w czasopismo naukowy , o zasiąg międzynarodowy , wykazywać wysoki if ."
9,9.0,4539.0,opisProjektuEfekt,"po zakończeniu obserwacji i analizie statystycznej wynikw rezultaty badania opracowane zostaną w formie referatwna zjazdach naukowych i publikowane w organach następujących towarzystw naukowych:
- transplantation society (transplantation, transplantation proceedings),
- american society of transplantation (american journal of transplantation),
- international society for heart & lung transplantation (journal of heart & lung transplantation),
- polskie towarzystwo transplantacyjne (annals of transplantation, transplantation proceedings),
- polskie towarzystwo kardiologiczne (kardiologia polska),
- <span lang=""en-us"" style=""font-size: 11pt; line-height: 150%; font-family: aria...",07/01/31,23.0,Zastosowanie doustnej postaci selektywnego inhibitora fosfodiestrazy typu 5 (sildenafilu) do obniżenia nadciśnienia płucnego u chorych z niewydolnością serca oczekujących na zabieg ortotopowego przeszczepienia serca,"naczyniowy opór płucny, nadciśnienie płucne, niewydolność serca, ortotopowe przeszczepienie serca, inhibitory fosfodiesterazy, sildenafil",173.0,"po zakończenie obserwacja i analiza statystyczny wynikw rezultat badanie opracować zostać w forma referatwna zjazd naukowy i publikować w organ następujący towarzystwo naukowy : - transplantation society ( transplantation , transplantation proceedings ) , - american society of transplantation ( american journal of transplantation ) , - international society for heart &amp; lung transplantation ( journal of heart &amp; lung transplantation ) , - polski towarzystwo transplantacyjny ( annals of transplantation , transplantation proceedings ) , - polski towarzystwo kardiologiczny ( kardiologia polski ) , - &lt; span lang = &quot; en - US &quot; styl = &quot; font - size : 11pt ; line - height : 150 % ; font - family : aria . . ."
